2000,AZ,LIGHT,22,RED,39
1997,IL,LIGHT,18,BLUE,15
2000,TX,LIGHT,8,RED,6
1999,FL,FIREBALL,6,RED,8
1999,MO,LIGHT,5,ORANGE,5
1998,CO,FIREBALL,5,BLUE,3
1999,TN,LIGHT,5,RED,3
1997,FL,LIGHT,4,RED,5
1997,NV,LIGHT,4,RED,4
1997,TX,OTHER,4,RED,3
1997,UT,LIGHT,4,RED GREEN,1
1999,VA,FIREBALL,3,BLUE,4
1998,NC,CIRCLE,3,ORANGE,3
1999,CO,LIGHT,3,RED,3
1995,TX,LIGHT,3,BLUE,2
1997,NY,TRIANGLE,3,BLUE,2
1998,NV,SPHERE,2,GREEN,4
1999,NJ,CIRCLE,2,ORANGE,4
2000,WI,LIGHT,2,RED,4
1985,TX,TRIANGLE,2,GREEN,3
1993,CA,CIRCLE,2,RED,3
1996,NY,TRIANGLE,2,RED,3
1999,MN,CIRCLE,2,GREEN,3
2000,KS,SPHERE,2,ORANGE,3
2000,MA,FIREBALL,2,RED,3
1965,OH,SPHERE,2,RED,2
1968,CA,CIRCLE,2,ORANGE,2
1968,OK,LIGHT,2,RED,2
1973,FL,DISK,2,RED,2
1973,MD,DISK,2,GREEN,2
1980,OH,SPHERE,2,RED,2
1982,WA,OVAL,2,ORANGE,2
1987,CA,SPHERE,2,RED,2
1989,CA,OTHER,2,RED,2
1989,NC,DISK,2,RED,2
1992,IL,LIGHT,2,ORANGE,2
1993,WA,LIGHT,2,RED,2
1994,NJ,DISK,2,GREEN,2
1994,NY,TRIANGLE,2,RED,2
1995,MA,OVAL,2,YELLOW,2
1995,OH,TRIANGLE,2,BLUE,2
1995,PA,OTHER,2,GREEN,2
1996,KS,LIGHT,2,RED,2
1998,IN,FIREBALL,2,GREEN,2
1998,LA,LIGHT,2,BLUE,2
1998,MA,FIREBALL,2,GREEN,2
2000,IN,OTHER,2,RED,2
2000,NH,FIREBALL,2,GREEN,2
1965,CA,CIGAR,2,RED BLUE,1
1966,CA,CIRCLE,2,BLUE,1
1966,OH,CIRCLE,2,RED,1
1969,CA,SPHERE,2,ORANGE,1
1972,CA,CIRCLE,2,RED ORANGE,1
1972,NY,DISK,2,RED,1
1973,AL,DISK,2,GREEN,1
1974,LA,OTHER,2,RED ORANGE,1
1974,OH,CIRCLE,2,ORANGE,1
1978,MO,LIGHT,2,RED,1
1979,CA,DISK,2,RED,1
1980,CA,LIGHT,2,ORANGE,1
1984,MO,LIGHT,2,BLUE,1
1985,CA,OVAL,2,BLUE,1
1986,CO,SPHERE,2,RED,1
1986,WA,DISK,2,ORANGE,1
1987,CO,SPHERE,2,RED YELLOW,1
1987,WI,FORMATION,2,RED ORANGE,1
1989,NJ,SPHERE,2,BLUE,1
1990,WA,SPHERE,2,ORANGE,1
1991,AZ,LIGHT,2,RED,1
1991,CO,TRIANGLE,2,BLUE,1
1991,FL,OTHER,2,RED,1
1991,TX,LIGHT,2,BLUE,1
1995,MO,CIGAR,2,RED GREEN,1
1997,NJ,LIGHT,2,ORANGE,1
1997,NM,FIREBALL,2,RED,1
1997,OH,OTHER,2,RED,1
1999,MD,LIGHT,2,RED YELLOW,1
2000,ID,LIGHT,2,RED,1
2000,ME,LIGHT,2,GREEN,1
2000,MS,FIREBALL,2,GREEN,1
2000,VA,FIREBALL,2,BLUE,1
1978,NY,LIGHT,1,RED,3
1988,CA,CIRCLE,1,RED,3
1947,CA,DISK,1,BLUE,2
1965,IN,DISK,1,RED,2
1968,CT,DISK,1,BLUE,2
1969,AZ,CIRCLE,1,YELLOW,2
1975,NY,DISK,1,BLUE,2
1977,NY,TRIANGLE,1,RED,2
1978,MI,FLASH,1,GREEN,2
1978,TX,FIREBALL,1,RED,2
1981,NY,TRIANGLE,1,RED,2
1985,MO,FIREBALL,1,ORANGE,2
1986,CA,CIGAR,1,RED,2
1986,NC,SPHERE,1,RED YELLOW,2
1991,NY,DISK,1,BLUE,2
1991,PA,LIGHT,1,RED,2
1992,ID,FIREBALL,1,GREEN,2
1993,NE,TRIANGLE,1,RED,2
1994,OH,CIRCLE,1,ORANGE,2
1995,NV,LIGHT,1,ORANGE,2
1995,SD,LIGHT,1,BLUE,2
1996,MO,OTHER,1,GREEN,2
1997,CT,RECTANGLE,1,RED,2
1997,VT,FIREBALL,1,GREEN,2
1998,MN,FIREBALL,1,GREEN,2
1999,MT,LIGHT,1,RED,2
1999,NV,FIREBALL,1,RED,2
2000,AL,OVAL,1,GREEN,2
2000,MO,CIRCLE,1,ORANGE,2
2000,RI,DISK,1,ORANGE,2
1939,SC,SPHERE,1,RED,1
1943,AK,OTHER,1,RED,1
1945,VA,FORMATION,1,RED,1
1946,CA,SPHERE,1,GREEN,1
1948,IN,SPHERE,1,RED,1
1949,AL,CIRCLE,1,ORANGE,1
1950,CA,DISK,1,GREEN,1
1950,ID,CIGAR,1,ORANGE,1
1951,KS,DISK,1,BLUE,1
1951,MS,DISK,1,GREEN,1
1951,UT,DISK,1,BLUE,1
1951,WY,SPHERE,1,GREEN,1
1952,TX,TRIANGLE,1,ORANGE,1
1952,VA,FIREBALL,1,GREEN,1
1953,IN,DISK,1,GREEN,1
1953,MA,SPHERE,1,RED,1
1953,MT,DISK,1,BLUE,1
1953,NM,OTHER,1,ORANGE,1
1953,OH,FIREBALL,1,RED,1
1953,OK,FIREBALL,1,YELLOW,1
1954,CA,CIRCLE,1,RED,1
1954,MO,OVAL,1,RED,1
1954,NJ,CIRCLE,1,ORANGE,1
1954,TX,DISK,1,RED,1
1955,IN,CIRCLE,1,ORANGE,1
1955,MA,EGG,1,YELLOW,1
1956,AL,SPHERE,1,YELLOW,1
1956,CA,CIGAR,1,ORANGE,1
1956,MD,CIRCLE,1,BLUE,1
1956,SD,CIRCLE,1,ORANGE,1
1956,TN,CYLINDER,1,ORANGE,1
1957,AR,SPHERE,1,ORANGE,1
1957,MO,LIGHT,1,RED,1
1958,IA,TRIANGLE,1,RED,1
1959,CA,CIRCLE,1,YELLOW,1
1959,WV,SPHERE,1,RED,1
1960,CA,CIRCLE,1,ORANGE YELLOW,1
1960,NJ,CIGAR,1,RED,1
1960,TN,CIRCLE,1,ORANGE,1
1960,WA,OVAL,1,GREEN,1
1961,CA,CIRCLE,1,ORANGE,1
1961,IL,DISK,1,ORANGE,1
1961,NJ,SPHERE,1,RED GREEN,1
1961,TX,LIGHT,1,GREEN,1
1962,CT,CIRCLE,1,ORANGE,1
1962,NJ,VARIOUS,1,ORANGE,1
1962,OH,OTHER,1,RED,1
1962,OK,VARIOUS,1,RED,1
1962,PA,LIGHT,1,YELLOW,1
1962,WI,DISK,1,ORANGE,1
1963,MD,OTHER,1,RED,1
1963,ME,TRIANGLE,1,ORANGE,1
1963,MI,TRIANGLE,1,RED,1
1963,MN,OVAL,1,BLUE,1
1963,VA,LIGHT,1,RED,1
1964,CA,OTHER,1,ORANGE,1
1964,CO,LIGHT,1,BLUE,1
1964,IL,CIRCLE,1,ORANGE,1
1964,MT,OVAL,1,RED,1
1964,TN,SPHERE,1,RED,1
1964,VA,DISK,1,RED,1
1964,WA,CIRCLE,1,BLUE,1
1965,CT,DISK,1,RED ORANGE,1
1965,GA,DISK,1,BLUE,1
1965,IA,FIREBALL,1,ORANGE,1
1965,MA,CIGAR,1,RED,1
1965,ME,CIRCLE,1,BLUE,1
1965,NC,CIRCLE,1,GREEN,1
1965,NH,CYLINDER,1,ORANGE,1
1965,NM,DISK,1,GREEN,1
1965,NY,DISK,1,RED,1
1965,OK,OTHER,1,RED GREEN,1
1965,OR,DISK,1,RED,1
1965,TX,OVAL,1,RED BLUE,1
1965,VA,SPHERE,1,BLUE,1
1966,AK,CIGAR,1,ORANGE,1
1966,IA,OVAL,1,RED,1
1966,IN,RECTANGLE,1,RED,1
1966,MA,CIRCLE,1,RED,1
1966,ME,DISK,1,GREEN,1
1966,MS,EGG,1,RED,1
1966,NE,CIRCLE,1,RED YELLOW GREEN,1
1966,NY,TRIANGLE,1,ORANGE,1
1966,OR,DISK,1,BLUE,1
1966,SC,LIGHT,1,ORANGE,1
1966,WA,DISK,1,RED,1
1966,WV,TRIANGLE,1,RED,1
1967,CA,CIGAR,1,RED,1
1967,CT,DISK,1,BLUE,1
1967,FL,TRIANGLE,1,RED,1
1967,GA,OTHER,1,ORANGE,1
1967,IL,DISK,1,RED,1
1967,ME,CIRCLE,1,ORANGE,1
1967,NC,CIRCLE,1,RED YELLOW,1
1967,NV,LIGHT,1,BLUE,1
1967,NY,SPHERE,1,GREEN,1
